,n_movies,n_cat,time,n_mvoies_watched,n_hours_watched
297,701.0,18.0,0.007200708001619205,19.0,21.0
298,701.0,19.0,0.007437708001816645,20.0,22.0
299,701.0,20.0,0.00755829201079905,17.0,22.0
300,751.0,1.0,0.007726624986389652,1.0,1.0
301,751.0,2.0,0.00740820899954997,3.0,4.0
302,751.0,3.0,0.007383416988886893,7.0,10.0
303,751.0,4.0,0.0074526669923216105,12.0,16.0
304,751.0,5.0,0.007667166995815933,8.0,11.0
305,751.0,6.0,0.007533708005212247,17.0,21.0
306,751.0,7.0,0.008256041997810826,17.0,20.0
307,751.0,8.0,0.0076579579908866435,19.0,22.0
308,751.0,9.0,0.00741379099781625,18.0,23.0
309,751.0,10.0,0.008186042017769068,18.0,22.0
310,751.0,11.0,0.007680917013203725,19.0,22.0
311,751.0,12.0,0.007558917015558109,18.0,23.0
312,751.0,13.0,0.007535708020441234,18.0,21.0
313,751.0,14.0,0.007965875003719702,19.0,22.0
314,751.0,15.0,0.0074885830108541995,19.0,22.0
315,751.0,16.0,0.007693457999266684,22.0,22.0
316,751.0,17.0,0.007475624996004626,20.0,22.0
317,751.0,18.0,0.007528625021222979,20.0,22.0
318,751.0,19.0,0.008381916995858774,20.0,23.0
319,751.0,20.0,0.007433332997607067,21.0,22.0
320,801.0,1.0,0.007836040982510895,1.0,1.0
321,801.0,2.0,0.007692916988162324,4.0,6.0
322,801.0,3.0,0.007798290986102074,7.0,8.0
323,801.0,4.0,0.007843166997190565,9.0,11.0
324,801.0,5.0,0.007894125010352582,18.0,20.0
325,801.0,6.0,0.007110874983482063,18.0,21.0
326,801.0,7.0,0.007112166000297293,18.0,21.0
327,801.0,8.0,0.007545082975411788,21.0,23.0
328,801.0,9.0,0.007519832986872643,17.0,21.0
329,801.0,10.0,0.007430416997522116,22.0,23.0
330,801.0,11.0,0.007487416994990781,19.0,21.0
331,801.0,12.0,0.007584040984511375,21.0,23.0
332,801.0,13.0,0.007854541996493936,19.0,22.0
333,801.0,14.0,0.007262083003297448,21.0,22.0
334,801.0,15.0,0.007394124986603856,20.0,23.0
335,801.0,16.0,0.007353833003435284,22.0,23.0
336,801.0,17.0,0.0072330000111833215,22.0,22.0
337,801.0,18.0,0.00765195899293758,20.0,23.0
338,801.0,19.0,0.007604874990647659,18.0,22.0
339,801.0,20.0,0.007094625005265698,21.0,22.0
340,851.0,1.0,0.007619500014698133,1.0,1.0
341,851.0,2.0,0.008069709001574665,3.0,4.0
342,851.0,3.0,0.007181958993896842,7.0,9.0
343,851.0,4.0,0.008002332993783057,13.0,18.0
344,851.0,5.0,0.007503542001359165,16.0,20.0
345,851.0,6.0,0.00746987501042895,18.0,20.0
346,851.0,7.0,0.007617208000738174,20.0,21.0
347,851.0,8.0,0.007252208975842223,17.0,21.0
348,851.0,9.0,0.007967625017045066,19.0,22.0
349,851.0,10.0,0.007573500013677403,19.0,23.0
350,851.0,11.0,0.008014334016479552,21.0,23.0
351,851.0,12.0,0.007312166999327019,22.0,23.0
352,851.0,13.0,0.007197458005975932,20.0,22.0
353,851.0,14.0,0.00762091702199541,21.0,22.0
354,851.0,15.0,0.008171458001015708,22.0,23.0
355,851.0,16.0,0.007845834014005959,19.0,23.0
356,851.0,17.0,0.007459249987732619,22.0,22.0
357,851.0,18.0,0.007873583002947271,20.0,23.0
358,851.0,19.0,0.00737475001369603,19.0,22.0
359,851.0,20.0,0.008040875021833926,20.0,22.0
360,901.0,1.0,0.007650625018868595,1.0,1.0
361,901.0,2.0,0.007999249995918944,3.0,3.0
362,901.0,3.0,0.008141541999066249,7.0,8.0
363,901.0,4.0,0.007505749992560595,11.0,13.0
364,901.0,5.0,0.007752459001494572,12.0,14.0
365,901.0,6.0,0.0075453750032465905,20.0,23.0
366,901.0,7.0,0.007804166991263628,20.0,23.0
367,901.0,8.0,0.007610000000568107,22.0,23.0
368,901.0,9.0,0.00829083297867328,18.0,21.0
369,901.0,10.0,0.007505000015953556,20.0,22.0
370,901.0,11.0,0.0076420830155257136,20.0,23.0
371,901.0,12.0,0.007660333008971065,21.0,22.0
372,901.0,13.0,0.007829375012079254,20.0,22.0
373,901.0,14.0,0.007586166000692174,20.0,22.0
374,901.0,15.0,0.007562999991932884,17.0,23.0
375,901.0,16.0,0.00760629097931087,21.0,23.0
376,901.0,17.0,0.007937499991385266,19.0,21.0
377,901.0,18.0,0.008304041984956712,23.0,23.0
378,901.0,19.0,0.007516290992498398,20.0,23.0
379,901.0,20.0,0.008110124996164814,22.0,23.0
380,951.0,1.0,0.007321541983401403,1.0,1.0
381,951.0,2.0,0.007556124997790903,2.0,3.0
382,951.0,3.0,0.007568417000584304,3.0,3.0
383,951.0,4.0,0.007757250015856698,10.0,13.0
384,951.0,5.0,0.007557709002867341,15.0,17.0
385,951.0,6.0,0.007895209011621773,20.0,22.0
386,951.0,7.0,0.007701666007051244,19.0,21.0
387,951.0,8.0,0.007819000020390376,21.0,22.0
388,951.0,9.0,0.007901417004177347,21.0,23.0
389,951.0,10.0,0.007619125011842698,20.0,22.0
390,951.0,11.0,0.007345291000092402,22.0,23.0
391,951.0,12.0,0.007645874982699752,18.0,22.0
392,951.0,13.0,0.007489834009902552,20.0,23.0
393,951.0,14.0,0.007687708013691008,22.0,23.0
394,951.0,15.0,0.007764874986605719,21.0,22.0
395,951.0,16.0,0.007725000003119931,20.0,23.0
396,951.0,17.0,0.007708541001193225,21.0,21.0
397,951.0,18.0,0.007339667004998773,22.0,23.0
398,951.0,19.0,0.007642624987056479,21.0,23.0
399,951.0,20.0,0.0077853340189903975,20.0,22.0
400,1001.0,1.0,0.007991249993210658,1.0,1.0
401,1001.0,2.0,0.007732958009000868,2.0,2.0
402,1001.0,3.0,0.007460541994078085,4.0,5.0
403,1001.0,4.0,0.007982332987012342,6.0,8.0
404,1001.0,5.0,0.007553165982244536,15.0,18.0
405,1001.0,6.0,0.007940040988614783,20.0,22.0
406,1001.0,7.0,0.0076206249941606075,21.0,23.0
407,1001.0,8.0,0.007934499997645617,20.0,23.0
408,1001.0,9.0,0.007898041018052027,20.0,22.0
409,1001.0,10.0,0.008985166001366451,23.0,23.0
410,1001.0,11.0,0.007868416025303304,21.0,23.0
411,1001.0,12.0,0.007972457999130711,20.0,22.0
412,1001.0,13.0,0.008008875011000782,22.0,22.0
413,1001.0,14.0,0.00801699998555705,19.0,23.0
414,1001.0,15.0,0.008125541993649676,23.0,23.0
415,1001.0,16.0,0.0075167909963056445,21.0,23.0
416,1001.0,17.0,0.007832999981474131,23.0,23.0
417,1001.0,18.0,0.007665624987566844,22.0,23.0
418,1001.0,19.0,0.007731582998530939,21.0,23.0
419,1001.0,20.0,0.007658082991838455,23.0,23.0
420,1051.0,1.0,0.0077245830034371465,1.0,1.0
421,1051.0,2.0,0.008345874986844137,4.0,5.0
422,1051.0,3.0,0.007712625025305897,5.0,6.0
423,1051.0,4.0,0.007661790994461626,9.0,10.0
424,1051.0,5.0,0.008483874989906326,9.0,10.0
425,1051.0,6.0,0.0075142079731449485,20.0,22.0
426,1051.0,7.0,0.008092834003036842,20.0,23.0
427,1051.0,8.0,0.0078231249935925,21.0,23.0
428,1051.0,9.0,0.007977417000802234,22.0,23.0
429,1051.0,10.0,0.007865416002459824,22.0,22.0
430,1051.0,11.0,0.007514875003835186,20.0,23.0
431,1051.0,12.0,0.007863082981202751,21.0,23.0
432,1051.0,13.0,0.007398167013889179,22.0,22.0
433,1051.0,14.0,0.007771791017148644,22.0,23.0
434,1051.0,15.0,0.007938417023979127,22.0,23.0
435,1051.0,16.0,0.007964208984049037,20.0,21.0
436,1051.0,17.0,0.008319874992594123,21.0,23.0
437,1051.0,18.0,0.00790691701695323,22.0,23.0
438,1051.0,19.0,0.008132874994771555,21.0,23.0
439,1051.0,20.0,0.007658207992790267,19.0,21.0
440,1101.0,1.0,0.007683583011385053,1.0,1.0
441,1101.0,2.0,0.007560875004855916,3.0,3.0
442,1101.0,3.0,0.007460541994078085,7.0,8.0
443,1101.0,4.0,0.008267041004728526,10.0,12.0
444,1101.0,5.0,0.008047874987823889,17.0,22.0
445,1101.0,6.0,0.007746957999188453,20.0,21.0
446,1101.0,7.0,0.007883749989559874,20.0,22.0
447,1101.0,8.0,0.007845874992199242,20.0,22.0
448,1101.0,9.0,0.0074722499994095415,20.0,21.0
449,1101.0,10.0,0.008362458000192419,20.0,23.0
450,1101.0,11.0,0.007351499982178211,19.0,23.0
451,1101.0,12.0,0.00775866600451991,21.0,23.0
452,1101.0,13.0,0.007544083026004955,23.0,23.0
453,1101.0,14.0,0.008489291998557746,21.0,23.0
454,1101.0,15.0,0.00786129100015387,20.0,22.0
455,1101.0,16.0,0.007854583003791049,21.0,23.0
456,1101.0,17.0,0.0076449169719126076,20.0,22.0
457,1101.0,18.0,0.008037874998990446,22.0,23.0
458,1101.0,19.0,0.007824959000572562,21.0,23.0
459,1101.0,20.0,0.007919291005237028,23.0,23.0
460,1151.0,1.0,0.008190499996999279,1.0,1.0
461,1151.0,2.0,0.00797470798715949,4.0,4.0
462,1151.0,3.0,0.007834666001144797,8.0,8.0
463,1151.0,4.0,0.00775958300800994,10.0,12.0
464,1151.0,5.0,0.007730333018116653,10.0,13.0
465,1151.0,6.0,0.0077611250162590295,14.0,15.0
466,1151.0,7.0,0.008445332990959287,21.0,22.0
467,1151.0,8.0,0.008227082988014445,22.0,23.0
468,1151.0,9.0,0.008135750016663224,22.0,23.0
469,1151.0,10.0,0.008190082997316495,21.0,23.0
470,1151.0,11.0,0.007943625008920208,21.0,23.0
471,1151.0,12.0,0.008146790991304442,22.0,23.0
472,1151.0,13.0,0.00782095899921842,22.0,23.0
473,1151.0,14.0,0.007530375005444512,21.0,22.0
474,1151.0,15.0,0.007761583983665332,21.0,23.0
475,1151.0,16.0,0.008108917012577876,20.0,23.0
476,1151.0,17.0,0.008285832998808473,21.0,23.0
477,1151.0,18.0,0.008088458998827264,23.0,23.0
478,1151.0,19.0,0.008201499993447214,23.0,23.0
479,1151.0,20.0,0.007754707999993116,21.0,22.0
480,1201.0,1.0,0.008045666996622458,1.0,1.0
481,1201.0,2.0,0.008574083010898903,2.0,2.0
482,1201.0,3.0,0.0077640420058742166,7.0,8.0
483,1201.0,4.0,0.007845207990612835,11.0,12.0
484,1201.0,5.0,0.007926041987957433,16.0,18.0
485,1201.0,6.0,0.00800479098688811,18.0,22.0
486,1201.0,7.0,0.007687750010518357,22.0,22.0
487,1201.0,8.0,0.008251207997091115,22.0,23.0
488,1201.0,9.0,0.008592041005613282,22.0,23.0
489,1201.0,10.0,0.007460541994078085,23.0,23.0
490,1201.0,11.0,0.008111665985779837,23.0,23.0
491,1201.0,12.0,0.00801550000323914,20.0,23.0
492,1201.0,13.0,0.007742457994027063,22.0,23.0
493,1201.0,14.0,0.0077969580015633255,20.0,23.0
494,1201.0,15.0,0.007672958017792553,23.0,23.0
495,1201.0,16.0,0.008782416000030935,22.0,23.0
496,1201.0,17.0,0.007732833008049056,21.0,23.0
497,1201.0,18.0,0.008029667020309716,21.0,23.0
498,1201.0,19.0,0.007744500006083399,21.0,23.0
499,1201.0,20.0,0.008031750010559335,22.0,23.0
500,1251.0,1.0,0.00777791699510999,1.0,1.0
501,1251.0,2.0,0.008637749997433275,3.0,3.0
